"","corPvalueStudent.gene.signf.corr..nSamples.","symbol"
"ENSMUSG00000009406",0.00819890100876806,"Elk1"
"ENSMUSG00000030699",0.00820111340507804,"Tbx6"
"ENSMUSG00000021549",0.00820822718746848,"Rasa1"
"ENSMUSG00000056973",0.00820980084723521,"Ces1d"
"ENSMUSG00000060594",0.0082113853919458,"Layn"
"ENSMUSG00000038608",0.00821193422022698,"Dock10"
"ENSMUSG00000045071",0.0082134858280704,"E130308A19Rik"
"ENSMUSG00000086765",0.00822021595944905,"Gm11827"
"ENSMUSG00000037287",0.00824801379051985,"Tbcel"
"ENSMUSG00000045886",0.00825140759417162,"Pam16l"
"ENSMUSG00000022150",0.00825623535201071,"Dab2"
"ENSMUSG00000114607",0.00826140650988692,NA
"ENSMUSG00000020570",0.00826497562974602,"Sypl"
"ENSMUSG00000025246",0.0082685881876576,"Tbl1x"
"ENSMUSG00000020149",0.00827297134526508,"Rab1a"
"ENSMUSG00000041308",0.00827460569037813,"Sntb2"
"ENSMUSG00000037408",0.0082822888985615,"Cnnm4"
"ENSMUSG00000028567",0.00828476581968568,"Txndc12"
"ENSMUSG00000037957",0.008284953903551,"Wdr20"
"ENSMUSG00000027782",0.00828741331963477,"Kpna4"
"ENSMUSG00000073421",0.00829067028370867,"H2-Ab1"
"ENSMUSG00000019232",0.00829316963615944,"Etnppl"
"ENSMUSG00000097944",0.00829319040234467,NA
"ENSMUSG00000015468",0.0082972059416661,"Notch4"
"ENSMUSG00000001942",0.00830033103094513,"Siae"
"ENSMUSG00000032327",0.00830578529971973,"Stra6"
"ENSMUSG00000096847",0.00830806379631095,"Tmem151b"
"ENSMUSG00000045180",0.00831042511156095,"Shroom2"
"ENSMUSG00000040818",0.00832807807496952,"Dennd6a"
"ENSMUSG00000032086",0.00833390926099594,"Bace1"
"ENSMUSG00000004207",0.00833643577789054,"Psap"
"ENSMUSG00000018008",0.00833725364290567,"Cyth4"
"ENSMUSG00000050312",0.00833889577786845,"Nsun3"
"ENSMUSG00000030059",0.00833976578136605,"Tmf1"
"ENSMUSG00000026670",0.00835705374354142,"Uap1"
"ENSMUSG00000003154",0.00835981361859535,"Foxj2"
"ENSMUSG00000028716",0.00836303792731431,"Pdzk1ip1"
"ENSMUSG00000085791",0.00836320319205589,NA
"ENSMUSG00000057092",0.00836955891377092,"Fxyd3"
"ENSMUSG00000106326",0.00838721042683752,NA
"ENSMUSG00000099471",0.00839641029766377,"Gm8451"
"ENSMUSG00000104435",0.00839816967091144,NA
"ENSMUSG00000048763",0.00839996742397794,"Hoxb3"
"ENSMUSG00000008206",0.00840096484704556,"Cers4"
"ENSMUSG00000075569",0.00840181517093799,"Pms2"
"ENSMUSG00000040209",0.00840786894987179,"Zfp704"
"ENSMUSG00000071637",0.00841798837118059,"Cebpd"
"ENSMUSG00000098931",0.00842472758526991,"Mir8099-2"
"ENSMUSG00000027519",0.00843522061117896,"Rab22a"
"ENSMUSG00000023885",0.00843723590751837,"Thbs2"
"ENSMUSG00000026819",0.00844157083053684,"Slc25a25"
"ENSMUSG00000048911",0.00844968093841875,"Rnf24"
"ENSMUSG00000044783",0.00845170177168065,"A730008H23Rik"
"ENSMUSG00000017144",0.00845309298840674,"Rnd3"
"ENSMUSG00000027994",0.00845690341689493,"Mcub"
"ENSMUSG00000024299",0.00845834805774086,"Adamts10"
"ENSMUSG00000032744",0.00846168386651636,"Heyl"
"ENSMUSG00000003477",0.0084684083418594,"Inmt"
"ENSMUSG00000094441",0.00847530092865799,"Zfp955a"
"ENSMUSG00000026604",0.00847619584259085,"Ptpn14"
"ENSMUSG00000022540",0.00847800692981825,"Rogdi"
"ENSMUSG00000042104",0.00847801259955564,"Uggt2"
"ENSMUSG00000026883",0.00848285822423918,"Dab2ip"
"ENSMUSG00000026893",0.00849485830910241,"Gca"
"ENSMUSG00000034685",0.00850716260046278,"Fam171a2"
"ENSMUSG00000025194",0.00851594649474253,"Abcc2"
"ENSMUSG00000041736",0.00852726306163881,"Tspo"
"ENSMUSG00000029179",0.00852793793853782,"Zcchc4"
"ENSMUSG00000007670",0.00853007900805689,"Khsrp"
"ENSMUSG00000091449",0.00853586328119043,"Gm10269"
"ENSMUSG00000026799",0.0085371836446251,"Med27"
"ENSMUSG00000112252",0.00854838972954646,"Gm32802"
"ENSMUSG00000024654",0.00855007940948991,"Asrgl1"
"ENSMUSG00000042814",0.00855172388780974,"Mcts2"
"ENSMUSG00000071640",0.00856023670732712,NA
"ENSMUSG00000017291",0.00856555838665649,"Taok1"
"ENSMUSG00000053137",0.00856726057693985,"Mapk11"
"ENSMUSG00000075416",0.00856727015261234,NA
"ENSMUSG00000005251",0.00856906806701263,"Ripk4"
"ENSMUSG00000086924",0.00858116898907119,NA
"ENSMUSG00000031549",0.00858143271279608,"Ido2"
"ENSMUSG00000043091",0.00858336607489515,"Tuba1c"
"ENSMUSG00000027698",0.00858926430583837,"Nceh1"
"ENSMUSG00000019984",0.00858996444781192,"Med23"
"ENSMUSG00000040158",0.00859785021920122,"Tax1bp3"
"ENSMUSG00000028672",0.00860074566591854,"Hmgcl"
"ENSMUSG00000005580",0.00860562851216257,"Adcy9"
"ENSMUSG00000087528",0.00861168654635338,NA
"ENSMUSG00000019737",0.00861465114596021,"Syne4"
"ENSMUSG00000048307",0.00861595236381742,"Ankrd46"
"ENSMUSG00000091994",0.00861622401428719,"E130317F20Rik"
"ENSMUSG00000031563",0.00861722283884055,"Wwc2"
"ENSMUSG00000045515",0.00861777887582682,"Pou3f3"
"ENSMUSG00000037370",0.00863083051148776,"Enpp1"
"ENSMUSG00000033752",0.00863471011133198,"Mnd1"
"ENSMUSG00000040548",0.00863995733103792,"Tex2"
"ENSMUSG00000034826",0.0086501042322928,"Nup54"
"ENSMUSG00000046541",0.0086545402270651,"Zfp526"
"ENSMUSG00000087672",0.0086621779516332,NA
"ENSMUSG00000044937",0.00866245403646886,"Ttc41"
"ENSMUSG00000026895",0.00868385491085489,"Ndufa8"
"ENSMUSG00000034616",0.00868871545685127,"Ssh3"
"ENSMUSG00000074892",0.00869451080798103,"B3galt5"
"ENSMUSG00000042428",0.00869724694212879,"Mgat3"
"ENSMUSG00000061778",0.00869911248592961,"Mospd2"
"ENSMUSG00000042496",0.00870040338713043,"Prdm10"
"ENSMUSG00000038648",0.0087018040741219,"Creb3l2"
"ENSMUSG00000042650",0.00870880631765161,"Alkbh5"
"ENSMUSG00000031595",0.00871116650436882,"Pdgfrl"
"ENSMUSG00000026425",0.00872668193193991,"Srgap2"
"ENSMUSG00000100131",0.00872897853330809,NA
"ENSMUSG00000039519",0.00873329437033257,"Cyp7b1"
"ENSMUSG00000068587",0.00875023311097916,"Mgam"
"ENSMUSG00000060675",0.0087524707396564,"Plaat3"
"ENSMUSG00000059852",0.00875929925814089,"Kcng2"
"ENSMUSG00000023868",0.00875939878189293,"Pde10a"
"ENSMUSG00000027346",0.00877134901154274,"Gpcpd1"
"ENSMUSG00000074918",0.00877668400268087,"Inafm2"
"ENSMUSG00000027778",0.00877683462919578,"Ift80"
"ENSMUSG00000030225",0.00880177688839479,"Dera"
"ENSMUSG00000053716",0.00880591250823142,"Dusp7"
"ENSMUSG00000117113",0.00881078357048045,NA
"ENSMUSG00000039542",0.00881452647637343,"Ncam1"
"ENSMUSG00000060961",0.00882011856821478,"Slc4a4"
"ENSMUSG00000005533",0.00883353470086229,"Igf1r"
"ENSMUSG00000005813",0.00883627731991501,"Metap1"
"ENSMUSG00000031398",0.00884711795341687,"Plxna3"
"ENSMUSG00000078903",0.00884843981784536,"Gm14391"
"ENSMUSG00000059901",0.00885507778294459,"Adamts14"
"ENSMUSG00000059423",0.0088567314641264,"Zfp933"
"ENSMUSG00000023013",0.00887333982997004,"Aqp2"
"ENSMUSG00000026816",0.00888659005737374,"Gtf3c5"
"ENSMUSG00000035621",0.00889059666752303,"Midn"
"ENSMUSG00000029190",0.00889467450419525,"D5Ertd579e"
"ENSMUSG00000058886",0.00890246494519522,"Deaf1"
"ENSMUSG00000018547",0.00891385024242698,"Pip4k2b"
"ENSMUSG00000026308",0.0089156262650299,"Klhl30"
"ENSMUSG00000015932",0.00894747710071793,"Dstn"
"ENSMUSG00000049744",0.00894761910359223,"Arhgap15"
"ENSMUSG00000094111",0.00895435290252893,NA
"ENSMUSG00000042249",0.00895847503391464,"Grk3"
"ENSMUSG00000051339",0.00895958993327641,"2900026A02Rik"
"ENSMUSG00000011752",0.00896931262481216,"Pgam1"
"ENSMUSG00000021846",0.00898592257269808,"Peli2"
"ENSMUSG00000007097",0.00899826767563123,"Atp1a2"
"ENSMUSG00000025358",0.0089994250322148,"Cdk2"
"ENSMUSG00000067719",0.00900390831436052,NA
"ENSMUSG00000018821",0.00900510493904819,"Avpi1"
"ENSMUSG00000024454",0.00900620813281899,"Hdac3"
"ENSMUSG00000115017",0.00901492374453043,NA
"ENSMUSG00000022111",0.00902307811203623,"Uchl3"
"ENSMUSG00000102644",0.00902370586017503,"Thap6"
"ENSMUSG00000002325",0.00902641196575386,"Irf9"
"ENSMUSG00000107451",0.00903016615930816,NA
"ENSMUSG00000050188",0.00903034520843397,"Lsm10"
"ENSMUSG00000005442",0.00903235228278694,"Cic"
"ENSMUSG00000031441",0.00903628546295073,"Atp11a"
"ENSMUSG00000111875",0.00904304740487896,"Gm5425"
"ENSMUSG00000007029",0.00904983089661878,"Vars"
"ENSMUSG00000005103",0.00905210239557388,"Wdr1"
"ENSMUSG00000037548",0.00905808919469741,"H2-DMb2"
"ENSMUSG00000028370",0.00905810399000659,"Pappa"
"ENSMUSG00000010721",0.00906069999786215,"Lmbr1"
"ENSMUSG00000060019",0.00906114946778659,NA
"ENSMUSG00000061950",0.00907218900633119,"Ppp4r1"
"ENSMUSG00000097863",0.0090738296338515,NA
"ENSMUSG00000078349",0.00907568706236612,"AW011738"
"ENSMUSG00000034563",0.00908235342099207,"Ccpg1"
"ENSMUSG00000035885",0.00908692707644432,"Cox8a"
"ENSMUSG00000079508",0.00908999183253502,"Apoo"
"ENSMUSG00000030213",0.00909406552539779,"Atf7ip"
"ENSMUSG00000021319",0.00910188937058808,"Sfrp4"
"ENSMUSG00000014554",0.00910605940619386,"Dguok"
"ENSMUSG00000027371",0.00910840819327014,"Fahd2a"
"ENSMUSG00000002395",0.00911496649930665,"Use1"
"ENSMUSG00000024217",0.00912202052915335,"Snrpc"
"ENSMUSG00000020220",0.00915486129758477,"Vps13d"
"ENSMUSG00000002846",0.00915581755881209,"Timmdc1"
"ENSMUSG00000024302",0.00915620069424965,"Dtna"
"ENSMUSG00000042744",0.00915910364911415,"Hectd4"
"ENSMUSG00000027134",0.00916398910787181,"Lpcat4"
"ENSMUSG00000028840",0.00916758745408138,"Zfp593"
"ENSMUSG00000005779",0.00917568507138431,"Psmb4"
"ENSMUSG00000030380",0.00918624094307445,"Mzf1"
"ENSMUSG00000048731",0.00919591584079649,"Ggnbp1"
"ENSMUSG00000032068",0.00921487314550141,"Plet1"
"ENSMUSG00000063130",0.00922450729596904,"Calml3"
"ENSMUSG00000025094",0.00922789702588961,"Slc18a2"
"ENSMUSG00000027404",0.00923365133454555,"Snrpb"
"ENSMUSG00000014177",0.00923787202807662,"Tvp23b"
"ENSMUSG00000003198",0.00923896459874512,"Zfp959"
"ENSMUSG00000010663",0.00924714078123615,"Fads1"
"ENSMUSG00000032399",0.00925168163423299,"Rpl4"
"ENSMUSG00000020641",0.00927189034643733,"Rsad2"
"ENSMUSG00000052133",0.00927306743381579,"Sema5b"
"ENSMUSG00000028556",0.00927770698566445,"Dock7"
"ENSMUSG00000028979",0.00928490934296593,"Masp2"
"ENSMUSG00000085360",0.00931387784912311,NA
"ENSMUSG00000019906",0.00933049667545701,"Lin7a"
"ENSMUSG00000003345",0.00933090105157854,"Csnk1g2"
"ENSMUSG00000034152",0.00933417157544879,"Exoc3"
"ENSMUSG00000028496",0.00933564478318271,"Mllt3"
"ENSMUSG00000027087",0.00934746508084242,"Itgav"
"ENSMUSG00000116508",0.00935360674000786,NA
"ENSMUSG00000030779",0.00936485815839122,"Rbbp6"
"ENSMUSG00000074576",0.00936992193823355,"Mocs3"
"ENSMUSG00000025525",0.00937158342977898,"Apool"
"ENSMUSG00000029507",0.00937756899724819,"Pus1"
"ENSMUSG00000000976",0.00939270960042156,"Heatr6"
"ENSMUSG00000100922",0.00939934814987546,"Gm8520"
"ENSMUSG00000024493",0.00940879662887664,"Lars"
"ENSMUSG00000049107",0.00941765108813394,"Ntf3"
"ENSMUSG00000052539",0.009430659125617,"Magi3"
"ENSMUSG00000043969",0.00943095634412985,"Emx2"
"ENSMUSG00000050666",0.00943187607846764,"Vstm4"
"ENSMUSG00000035799",0.00943225941522461,"Twist1"
"ENSMUSG00000081952",0.00943274451500157,NA
"ENSMUSG00000040528",0.00943786900913443,"Milr1"
"ENSMUSG00000031557",0.0094467390099382,"Plekha2"
"ENSMUSG00000109241",0.00945265058961198,"Gm7434"
"ENSMUSG00000042608",0.00945381133165002,"Stk40"
"ENSMUSG00000018666",0.00945643877957519,"Cbx1"
"ENSMUSG00000027359",0.00946045783844905,"Slc27a2"
"ENSMUSG00000037337",0.00946671876430527,"Map4k1"
"ENSMUSG00000021215",0.00947638823260728,"Net1"
"ENSMUSG00000074445",0.00948073905896315,"Sprr2a3"
"ENSMUSG00000086427",0.00949055952303483,"Hoxa11os"
"ENSMUSG00000010751",0.00950411764698111,"Tnfrsf22"
"ENSMUSG00000045038",0.00950578959026601,"Prkce"
"ENSMUSG00000028741",0.00950673964705512,"Mrto4"
"ENSMUSG00000002565",0.00951102854552437,"Scin"
"ENSMUSG00000031974",0.00952632980717689,"Abcb10"
"ENSMUSG00000039501",0.0095314843980013,"Znfx1"
"ENSMUSG00000059975",0.00953463904487178,"Zfp74"
"ENSMUSG00000082793",0.00953693977177426,"Btf3-ps4"
"ENSMUSG00000038274",0.00953712234908228,"Fau"
"ENSMUSG00000022890",0.0095521052659055,"Atp5j"
"ENSMUSG00000021294",0.00955987303190108,"Kif26a"
"ENSMUSG00000007564",0.00956183198538094,"Ppp2r1a"
"ENSMUSG00000020922",0.00957008477281427,"Lsm12"
"ENSMUSG00000039210",0.00957015478890754,"Gpatch2"
"ENSMUSG00000056999",0.00959347502861951,"Ide"
"ENSMUSG00000031853",0.0095939134907435,"Map3k21"
"ENSMUSG00000039903",0.00959429941499258,"Eva1c"
"ENSMUSG00000020496",0.00959943736814895,"Rnf187"
"ENSMUSG00000078664",0.0096035749832199,"Sprr2a1"
"ENSMUSG00000111446",0.00960386092690614,NA
"ENSMUSG00000039262",0.00960890625571195,"Prrc2b"
"ENSMUSG00000017715",0.00961668661578807,"Pgs1"
"ENSMUSG00000102827",0.00962143637014731,NA
"ENSMUSG00000074635",0.0096219201373689,"3110070M22Rik"
"ENSMUSG00000090100",0.00963308481924391,"Ttbk2"
"ENSMUSG00000052812",0.00963975815073454,"Atad2b"
"ENSMUSG00000038708",0.0096399602629742,"Golga4"
"ENSMUSG00000050912",0.00964048927145098,"Tmem123"
"ENSMUSG00000053173",0.00965257103093958,"Rpl18-ps2"
"ENSMUSG00000004267",0.00966201515774776,"Eno2"
"ENSMUSG00000034789",0.00967161266728484,"Rab24"
"ENSMUSG00000089857",0.00969115621763367,"Zfp882"
"ENSMUSG00000037519",0.00969215319789955,"Ppfia1"
"ENSMUSG00000034602",0.00969264860261177,"Mon2"
"ENSMUSG00000029440",0.00969402744208285,"Psmd9"
"ENSMUSG00000036940",0.00971805805708438,"Kdm1a"
"ENSMUSG00000027306",0.00972675947279811,"Nusap1"
"ENSMUSG00000010914",0.00974415582988904,"Pdhx"
"ENSMUSG00000117662",0.00974621730017853,"Gm4013"
"ENSMUSG00000057367",0.00976298733797668,"Birc2"
"ENSMUSG00000029461",0.00979010470367972,"Fam168a"
"ENSMUSG00000003316",0.00979359386941767,"Glg1"
"ENSMUSG00000022445",0.00979673424074882,"Cyp2d26"
"ENSMUSG00000027189",0.00981259664842244,"Trim44"
"ENSMUSG00000029227",0.00981518675547999,"Fip1l1"
"ENSMUSG00000054555",0.00982320614525058,"Adam12"
"ENSMUSG00000058298",0.00985118742954296,"Mcm9"
"ENSMUSG00000038080",0.00986957469754639,"Kdm1b"
"ENSMUSG00000027215",0.00987155874939268,"Cd82"
"ENSMUSG00000034108",0.0098780484382719,"Ccs"
"ENSMUSG00000089726",0.009886870213811,NA
"ENSMUSG00000062545",0.00989555407657071,"Tlr12"
"ENSMUSG00000028630",0.00989740924199805,"Dyrk2"
"ENSMUSG00000029273",0.00989789127655973,"Sult1d1"
"ENSMUSG00000003099",0.00989868966331894,"Ppp5c"
"ENSMUSG00000020536",0.00990987083448994,"Llgl1"
"ENSMUSG00000029610",0.00991184709202469,"Aimp2"
"ENSMUSG00000059689",0.00991875028265643,"Zfp637"
"ENSMUSG00000064284",0.00992070608851098,"Cdpf1"
"ENSMUSG00000060771",0.00993800045458246,"Tsga10"
"ENSMUSG00000028893",0.00994986104569797,"Sesn2"
"ENSMUSG00000051650",0.00995224060310923,"B3gnt2"
"ENSMUSG00000033845",0.00996393657407612,"Mrpl15"
"ENSMUSG00000060639",0.00996917417383173,"H4c9"
"ENSMUSG00000047045",0.00996996592806999,"Tmem164"
"ENSMUSG00000022364",0.00997090976011905,"Tbc1d31"
"ENSMUSG00000073411",0.00997850550338337,"H2-D1"
"ENSMUSG00000027896",0.00998142110405569,"Slc16a4"
"ENSMUSG00000118012",0.00998443357478696,NA
"ENSMUSG00000045482",0.0099847103082683,"Trrap"
"ENSMUSG00000039706",0.00998478898393715,"Ldb2"
"ENSMUSG00000037214",0.00999078640861836,"Thap1"
"ENSMUSG00000027882",0.00999922303760692,"Stxbp3"
"ENSMUSG00000038861",0.0100005554049787,"Pi4kb"
"ENSMUSG00000048921",0.0100014110599725,"Zfp689"
"ENSMUSG00000080875",0.0100054936978638,NA
"ENSMUSG00000040414",0.010007996716962,"Slc25a28"
"ENSMUSG00000047749",0.0100121483881102,"Zc3hav1l"
"ENSMUSG00000047909",0.0100238030901323,"Ankrd16"
"ENSMUSG00000030707",0.0100383405295671,"Coro1a"
"ENSMUSG00000029027",0.0100469437900742,"Dffb"
"ENSMUSG00000014959",0.0100472825506477,"Gorasp2"
"ENSMUSG00000034258",0.0100504379573304,"Flvcr2"
"ENSMUSG00000079426",0.0100534528057614,"Arpc4"
"ENSMUSG00000026213",0.0100571686324328,"Stk11ip"
"ENSMUSG00000022012",0.0100576759118126,"Enox1"
"ENSMUSG00000024403",0.0100612030685967,"Atp6v1g2"
"ENSMUSG00000020163",0.0100625667230893,"Uqcr11"
"ENSMUSG00000071662",0.0100714865635894,"Polr2g"
"ENSMUSG00000036469",0.0100801747537029,"Marchf1"
"ENSMUSG00000060938",0.0100863910039976,"Rpl26"
"ENSMUSG00000032564",0.0100971996026946,"Cpne4"
"ENSMUSG00000047388",0.0100972246852691,"Atmin"
"ENSMUSG00000028101",0.0100985919178776,"Pias3"
"ENSMUSG00000032030",0.0101056806244487,"Cul5"
"ENSMUSG00000022536",0.010112532291842,"Glyr1"
"ENSMUSG00000032452",0.0101379447050548,"Clstn2"
"ENSMUSG00000028003",0.0101405723982148,"Lrat"
"ENSMUSG00000081344",0.0101434861553722,NA
"ENSMUSG00000113722",0.0101466236976848,"Snhg10"
"ENSMUSG00000031841",0.010147603373695,"Cdh13"
"ENSMUSG00000001228",0.0101517350574429,"Uhrf1"
"ENSMUSG00000116812",0.0101580947631184,"Gm2792"
"ENSMUSG00000027288",0.0101590767305855,"Zfp106"
"ENSMUSG00000074733",0.0101652914471017,"Zfp950"
"ENSMUSG00000056753",0.0101753834959639,NA
"ENSMUSG00000027828",0.0102138666265367,"Ssr3"
"ENSMUSG00000027673",0.0102145475260686,"Ndufb5"
"ENSMUSG00000085651",0.0102182313769766,NA
"ENSMUSG00000022629",0.0102212862195017,"Kif21a"
"ENSMUSG00000045680",0.0102248206621263,"Tcf21"
"ENSMUSG00000039844",0.0102446245224672,"Rapgef1"
"ENSMUSG00000020307",0.0102599046782803,"Cdc34"
"ENSMUSG00000027984",0.0102611798395513,"Hadh"
"ENSMUSG00000028249",0.0102623446148164,"Sdcbp"
"ENSMUSG00000019710",0.0102688847337408,"Mrpl24"
"ENSMUSG00000035540",0.0102857794731381,"Gc"
"ENSMUSG00000039063",0.0102896304332751,"Echdc3"
"ENSMUSG00000024346",0.0102903713287537,"Pfdn1"
"ENSMUSG00000059772",0.0102922185730249,"Slx1b"
"ENSMUSG00000027513",0.0102975222125868,"Pck1"
"ENSMUSG00000073490",0.0102979698155257,"Ifi207"
"ENSMUSG00000003559",0.0102989381037192,"As3mt"
"ENSMUSG00000039741",0.0103019541918848,"Bahcc1"
"ENSMUSG00000019943",0.0103140984157317,"Atp2b1"
"ENSMUSG00000025873",0.0103347981895414,"Faf2"
"ENSMUSG00000096337",0.0103380812332989,"Gm13694"
"ENSMUSG00000020829",0.0103399688738107,"Slc46a1"
"ENSMUSG00000025024",0.010340148195501,"Smndc1"
"ENSMUSG00000004934",0.0103505626749315,"Pias4"
"ENSMUSG00000021076",0.0103524634001396,"Actr10"
"ENSMUSG00000049811",0.0103594076172301,"Fam161a"
"ENSMUSG00000025227",0.0103617681672355,"Mfsd13a"
"ENSMUSG00000035898",0.0103629660576013,"Uba6"
"ENSMUSG00000048234",0.0103775312079792,"Rnf149"
"ENSMUSG00000036376",0.0103856801234931,"Abt1"
"ENSMUSG00000032220",0.0103961763241661,"Myo1e"
"ENSMUSG00000097657",0.0104031870545012,"Gm7389"
"ENSMUSG00000080836",0.0104048301944664,NA
"ENSMUSG00000108655",0.0104108234188839,NA
"ENSMUSG00000032725",0.0104179039812419,"Folr2"
"ENSMUSG00000052299",0.0104289241265561,"Ltn1"
"ENSMUSG00000036989",0.0104289449057269,"Trim3"
"ENSMUSG00000022206",0.0104338619755029,"Npr3"
"ENSMUSG00000040283",0.0104460583635271,"Btnl9"
"ENSMUSG00000004187",0.0104483528834464,"Kifc2"
"ENSMUSG00000079137",0.0104503530199012,NA
"ENSMUSG00000050846",0.0104579122641733,"Zfp623"
"ENSMUSG00000033124",0.0104581412207104,"Atg9a"
"ENSMUSG00000024498",0.0104671255642772,"Tcerg1"
"ENSMUSG00000037336",0.0104726852950433,"Mfsd2b"
"ENSMUSG00000030188",0.0104904869027152,"Magohb"
"ENSMUSG00000021266",0.0104916258148849,"Wars1"
"ENSMUSG00000109161",0.0104955779119376,NA
"ENSMUSG00000069376",0.0104970274079386,"Gm5507"
"ENSMUSG00000055415",0.0105040076354938,"Atp10b"
"ENSMUSG00000021149",0.0105057419420036,"Gtpbp4"
"ENSMUSG00000024581",0.0105268779358405,"Napg"
"ENSMUSG00000047248",0.010529665863502,"C2cd3"
"ENSMUSG00000035069",0.0105352891153077,"Oma1"
"ENSMUSG00000025050",0.0105427484216012,"Pcgf6"
"ENSMUSG00000040543",0.0105463588447741,"Pitpnm3"
"ENSMUSG00000083774",0.0105526613581714,NA
"ENSMUSG00000022639",0.0105687591282822,NA
"ENSMUSG00000030087",0.0105770954939559,"Klf15"
"ENSMUSG00000027430",0.0105857234097879,"Dtd1"
"ENSMUSG00000044149",0.0105919711663903,"Nkrf"
"ENSMUSG00000058013",0.0105970873707766,"Septin11"
"ENSMUSG00000045438",0.0105971499424346,"Cox19"
"ENSMUSG00000081824",0.0106033056380491,NA
"ENSMUSG00000080845",0.0106035630426298,NA
"ENSMUSG00000005681",0.010618007224614,"Apoa2"
"ENSMUSG00000020716",0.0106425224941139,"Nf1"
"ENSMUSG00000053205",0.0106437143220482,"Styx"
"ENSMUSG00000003955",0.0106448382984188,"Fam162a"
"ENSMUSG00000032126",0.0106454072744774,"Hmbs"
"ENSMUSG00000033047",0.0106490275767509,"Eif3l"
"ENSMUSG00000050240",0.0106644663567663,"Hic2"
"ENSMUSG00000032643",0.0106785674766443,"Fhl3"
"ENSMUSG00000006673",0.0106789458032166,"Qrich1"
"ENSMUSG00000031641",0.0106823966735983,"Cbr4"
"ENSMUSG00000027967",0.0106843271365157,"Neurog2"
"ENSMUSG00000024974",0.01068717256255,"Smc3"
"ENSMUSG00000115160",0.0106931515702611,NA
"ENSMUSG00000115188",0.0106957843610932,"Gm46522"
"ENSMUSG00000038664",0.0106958070851026,"Herc1"
"ENSMUSG00000004530",0.0107081290507318,"Coro1c"
"ENSMUSG00000005621",0.0107110890810304,"Zfp592"
"ENSMUSG00000052085",0.0107284276716804,"Dock8"
"ENSMUSG00000055795",0.0107445119878092,NA
"ENSMUSG00000035674",0.0107448771923602,"Ndufa3"
"ENSMUSG00000021774",0.0107454408413866,"Ube2e1"
"ENSMUSG00000052488",0.0107690569094481,"Cherp"
"ENSMUSG00000000339",0.0107709347780889,"Rtca"
"ENSMUSG00000017778",0.0107782659532747,"Cox7c"
"ENSMUSG00000110353",0.0107808170375874,"Gm33543"
"ENSMUSG00000021326",0.0107887958286778,"Trim27"
"ENSMUSG00000006471",0.0107918627977439,"Ndor1"
"ENSMUSG00000024862",0.0107947355405868,"Klc2"
"ENSMUSG00000112105",0.0108027820133624,NA
"ENSMUSG00000024247",0.0108124094315204,"Pkdcc"
"ENSMUSG00000034858",0.0108165654214432,"Atosa"
"ENSMUSG00000019838",0.0108266213649742,"Slc16a10"
"ENSMUSG00000026335",0.0108280396973406,"Pam"
"ENSMUSG00000028514",0.0108298528130729,"Usp24"
"ENSMUSG00000027200",0.0108320488015094,"Sema6d"
